"FIPS","mean_premium","median_premium","n_obs","NAME","StateAbb"
"21215",2320,1926,730,"Spencer","KY"
"19037",1759,1575,57,"Chickasaw","IA"
"27005",2496,2149,631,"Becker","MN"
"29085",NA,NA,NA,"Hickory","MO"
"27061",2258,2025,847,"Itasca","MN"
"36037",1376,1108,758,"Genesee","NY"
"31143",2740,2455,43,"Polk","NE"
"40097",2735,2363,554,"Mayes","OK"
"46025",NA,NA,NA,"Clark","SD"
"48499",2270,1847,505,"Wood","TX"
"48393",NA,NA,NA,"Roberts","TX"
"54105",NA,NA,NA,"Wirt","WV"
"72061",NA,NA,NA,"Guaynabo",NA
"18095",1731,1503,2408,"Madison","IN"
"01059",2173,1899,236,"Franklin","AL"
"06075",3609,1845,3310,"San Francisco","CA"
"13047",1944,1699,2100,"Catoosa","GA"
"19191",2239,1745,36,"Winneshiek","IA"
"28093",2594,2193,582,"Marshall","MS"
"28087",2329,2023,898,"Lowndes","MS"
"29181",NA,NA,NA,"Ripley","MO"
"36115",1538,1248,916,"Washington","NY"
"46027",3054,2727,172,"Clay","SD"
"53071",1799,1484,1338,"Walla Walla","WA"
"08087",3648,3364,557,"Morgan","CO"
"17053",2078,1871,106,"Ford","IL"
"19103",2248,1937,1747,"Johnson","IA"
"20015",2943,2674,1681,"Butler","KS"
"21149",2136,1993,69,"McLean","KY"
"22043",1501,1202,181,"Grant","LA"
"28137",2432,2076,483,"Tate","MS"
"28017",2065,1605,33,"Chickasaw","MS"
"36099",1365,1063,204,"Seneca","NY"
"28029",2594,2220,190,"Copiah","MS"
"42075",1323,1137,2874,"Lebanon","PA"
"48353",2767,2341,150,"Nolan","TX"
"51775",1402,1144,1057,"Salem","VA"
"54031",1746,1493,97,"Hardy","WV"
"01029",2224,1827,132,"Cleburne","AL"
"55077",1691,1432,167,"Marquette","WI"
"35015",2791,2453,1339,"Eddy","NM"
"19069",1968,1638,60,"Franklin","IA"
"28111",2808,2469,89,"Perry","MS"
"21207",1945,1639,132,"Russell","KY"
"24047",2323,1930,1533,"Worcester","MD"
"47081",2057,1815,356,"Hickman","TN"
"48217",2721,2220,490,"Hill","TX"
"42045",2467,2096,14402,"Delaware","PA"
"48129",NA,NA,NA,"Donley","TX"
"51135",1744,1508,247,"Nottoway","VA"
"13055",2145,1813,243,"Chattooga","GA"
"19109",2131,1836,77,"Kossuth","IA"
"27027",2326,2054,1530,"Clay","MN"
"36009",1575,1295,496,"Cattaraugus","NY"
"06087",3030,1964,3907,"Santa Cruz","CA"
"24015",1848,1555,3394,"Cecil","MD"
"26021",2151,1840,1870,"Berrien","MI"
"28003",2848,2489,201,"Alcorn","MS"
"29145",2291,2002,1355,"Newton","MO"
"48215",2032,1654,8181,"Hidalgo","TX"
"48403",NA,NA,NA,"Sabine","TX"
"01009",2198,2003,1087,"Blount","AL"
"08013",3940,3270,6138,"Boulder","CO"
"13247",2616,2249,2824,"Rockdale","GA"
"17027",2144,1934,613,"Clinton","IL"
"18055",2113,1862,331,"Greene","IN"
"20027",NA,NA,NA,"Clay","KS"
"21073",2043,1694,935,"Franklin","KY"
"28133",2589,2376,84,"Sunflower","MS"
"31149",NA,NA,NA,"Rock","NE"
"45087",1588,1336,261,"Union","SC"
"47113",2194,1951,2217,"Madison","TN"
"51740",2210,1964,3786,"Portsmouth","VA"
"72101",NA,NA,NA,"Morovis",NA
"51810",2603,2183,16792,"Virginia Beach","VA"
"55049",1866,1523,208,"Iowa","WI"
"17055",2316,2142,262,"Franklin","IL"
"19171",2123,1982,231,"Tama","IA"
"19101",1892,1750,95,"Jefferson","IA"
"20107",NA,NA,NA,"Linn","KS"
"37083",1638,1418,684,"Halifax","NC"
"21155",1642,1430,204,"Marion","KY"
"38069",2228,1757,26,"Pierce","ND"
"17187",1999,1734,121,"Warren","IL"
"46123",2381,2212,28,"Tripp","SD"
"72153",NA,NA,NA,"Yauco",NA
"42131",1542,1241,357,"Wyoming","PA"
"05021",1749,1487,89,"Clay","AR"
"12047",3305,2814,63,"Hamilton","FL"
"18043",2123,1778,2600,"Floyd","IN"
"26057",2938,2643,276,"Gratiot","MI"
"19137",2522,2147,106,"Montgomery","IA"
"27151",2358,2080,186,"Swift","MN"
"27127",2427,2043,205,"Redwood","MN"
"20023",NA,NA,NA,"Cheyenne","KS"
"21087",2180,1760,60,"Green","KY"
"17041",2176,1938,143,"Douglas","IL"
"17095",1749,1505,744,"Knox","IL"
"51590",1365,1102,950,"Danville","VA"
"55065",1988,1725,91,"Lafayette","WI"
"48195",NA,NA,NA,"Hansford","TX"
"48437",2387,2069,44,"Swisher","TX"
"08095",3990,3596,64,"Phillips","CO"
"17067",2056,1878,77,"Hancock","IL"
"26101",2068,1571,179,"Manistee","MI"
"30075",NA,NA,NA,"Powder River","MT"
"31127",2522,2407,89,"Nemaha","NE"
"28059",4079,3670,2496,"Jackson","MS"
"48483",NA,NA,NA,"Wheeler","TX"
"46101",2565,2181,72,"Moody","SD"
"45083",1547,1265,8479,"Spartanburg","SC"
"04025",1618,1279,5945,"Yavapai","AZ"
"13067",3066,2584,23866,"Cobb","GA"
"13043",2539,2314,102,"Candler","GA"
"31075",NA,NA,NA,"Grant","NE"
"19099",2108,1883,858,"Jasper","IA"
"21009",2049,1813,581,"Barren","KY"
"19175",2323,2093,134,"Union","IA"
"26143",1834,1506,354,"Roscommon","MI"
"29151",2241,1990,177,"Osage","MO"
"28085",2991,2525,283,"Lincoln","MS"
"39047",1691,1431,391,"Fayette","OH"
"47177",1932,1561,449,"Warren","TN"
"48227",2218,1779,480,"Howard","TX"
"48151",NA,NA,NA,"Fisher","TX"
"72005",NA,NA,NA,"Aguadilla",NA
"48357",2424,2050,82,"Ochiltree","TX"
"17115",1831,1584,1113,"Macon","IL"
"08025",NA,NA,NA,"Crowley","CO"
"19011",2130,1877,457,"Benton","IA"
"19065",1828,1663,82,"Fayette","IA"
"20133",NA,NA,NA,"Neosho","KS"
"27085",2640,2314,958,"McLeod","MN"
"13021",2141,1826,3455,"Bibb","GA"
"38035",1905,1676,1262,"Grand Forks","ND"
"22001",2874,2441,621,"Acadia","LA"
"17117",2192,1947,352,"Macoupin","IL"
"47173",1720,1387,352,"Union","TN"
"48031",2308,1851,115,"Blanco","TX"
"48331",2239,1592,248,"Milam","TX"
"48067",2533,2001,303,"Cass","TX"
"08103",1551,1268,211,"Rio Blanco","CO"
"17111",2438,2065,8856,"McHenry","IL"
"20129",NA,NA,NA,"Morton","KS"
"26139",1885,1554,3466,"Ottawa","MI"
"35023",NA,NA,NA,"Hidalgo","NM"
"42085",1251,1016,1366,"Mercer","PA"
"13161",2091,1927,133,"Jeff Davis","GA"
"01013",2103,1847,157,"Butler","AL"
"05097",2028,1750,66,"Montgomery","AR"
"08014",3332,3001,1891,"Broomfield","CO"
"13269",2321,2222,94,"Taylor","GA"
"18181",1752,1530,425,"White","IN"
"20031",NA,NA,NA,"Coffey","KS"
"29175",1799,1603,355,"Randolph","MO"
"29187",1995,1737,769,"St. Francois","MO"
"27079",2963,2622,734,"Le Sueur","MN"
"28061",2765,2549,80,"Jasper","MS"
"42043",1296,1028,6228,"Dauphin","PA"
"46057",NA,NA,NA,"Hamlin","SD"
"47105",1782,1470,1331,"Loudon","TN"
"48297",2559,1879,93,"Live Oak","TX"
"51680",1440,1192,2189,"Lynchburg","VA"
"55135",1488,1213,631,"Waupaca","WI"
"54095",NA,NA,NA,"Tyler","WV"
"01093",2279,2022,252,"Marion","AL"
"55061",1543,1300,234,"Kewaunee","WI"
"18137",1921,1690,294,"Ripley","IN"
"20115",NA,NA,NA,"Marion","KS"
"28101",2535,2221,144,"Newton","MS"
"13249",2521,2313,70,"Schley","GA"
"13201",2639,2617,38,"Miller","GA"
"38009",2197,1872,80,"Bottineau","ND"
"51610",3737,2960,551,"Falls Church","VA"
"48493",2478,1932,977,"Wilson","TX"
"42097",1153,929,942,"Northumberland","PA"
"13179",2664,2448,1907,"Liberty","GA"
"22071",6217,5351,6201,"Orleans","LA"
"29199",NA,NA,NA,"Scotland","MO"
"31083",3136,2838,32,"Harlan","NE"
"36061",8113,4278,80,"New York","NY"
"37169",1398,1168,1160,"Stokes","NC"
"38059",2388,2166,551,"Morton","ND"
"42105",1372,1114,90,"Potter","PA"
"05147",NA,NA,NA,"Woodruff","AR"
"08089",2905,2733,210,"Otero","CO"
"18131",2276,2194,123,"Pulaski","IN"
"19091",2222,2066,82,"Humboldt","IA"
"21239",1966,1675,654,"Woodford","KY"
"20189",NA,NA,NA,"Stevens","KS"
"29025",2266,1974,126,"Caldwell","MO"
"34013",2999,2357,12030,"Essex","NJ"
"31019",3099,2837,624,"Buffalo","NE"
"40037",2874,2487,1215,"Creek","OK"
"41003",1512,1201,1464,"Benton","OR"
"46073",NA,NA,NA,"Jerauld","SD"
"47015",2100,1869,284,"Cannon","TN"
"48441",2376,1960,3296,"Taylor","TX"
"54093",NA,NA,NA,"Tucker","WV"
"50021",1785,1477,550,"Rutland","VT"
"72151",NA,NA,NA,"Yabucoa",NA
"01033",2103,1867,1025,"Colbert","AL"
"08083",1726,1356,659,"Montezuma","CO"
"20097",NA,NA,NA,"Kiowa","KS"
"20209",2290,2046,3677,"Wyandotte","KS"
"21179",2156,1717,1288,"Nelson","KY"
"37103",2411,2243,191,"Jones","NC"
"16055",1679,1357,4653,"Kootenai","ID"
"47043",1972,1696,1233,"Dickson","TN"
"48155",NA,NA,NA,"Foard","TX"
"27097",2490,2217,670,"Morrison","MN"
"51177",1882,1546,5663,"Spotsylvania","VA"
"37025",1741,1416,6211,"Cabarrus","NC"
"42113",1347,1282,34,"Sullivan","PA"
"38045",NA,NA,NA,"LaMoure","ND"
"39083",1723,1400,937,"Knox","OH"
"42117",1432,1275,268,"Tioga","PA"
"51183",1953,1696,258,"Sussex","VA"
"48179",2606,2112,285,"Gray","TX"
"37071",1543,1259,6562,"Gaston","NC"
"31069",NA,NA,NA,"Garden","NE"
"48191",NA,NA,NA,"Hall","TX"
"31023",2695,2364,48,"Butler","NE"
"36111",1969,1513,1936,"Ulster","NY"
"51197",1574,1370,391,"Wythe","VA"
"38091",NA,NA,NA,"Steele","ND"
"05085",2332,2025,2879,"Lonoke","AR"
"05075",1922,1781,179,"Lawrence","AR"
"29161",2116,1955,538,"Phelps","MO"
"26071",1716,1406,75,"Iron","MI"
"27099",2368,2121,991,"Mower","MN"
"36015",1170,842,793,"Chemung","NY"
"37159",1622,1356,3455,"Rowan","NC"
"48243",NA,NA,NA,"Jeff Davis","TX"
"51520",1655,1530,268,"Bristol","VA"
"48261",NA,NA,NA,"Kenedy","TX"
"01045",2243,1996,1178,"Dale","AL"
"05101",NA,NA,NA,"Newton","AR"
"13193",2422,2135,63,"Macon","GA"
"31091",NA,NA,NA,"Hooker","NE"
"18143",2111,1815,362,"Scott","IN"
"19121",2601,2199,446,"Madison","IA"
"18079",1760,1586,353,"Jennings","IN"
"20135",NA,NA,NA,"Ness","KS"
"21189",NA,NA,NA,"Owsley","KY"
"19075",2110,1817,192,"Grundy","IA"
"27153",2142,1978,382,"Todd","MN"
"28153",2604,2305,111,"Wayne","MS"
"36123",1345,1034,148,"Yates","NY"
"37109",1705,1368,2618,"Lincoln","NC"
"31115",NA,NA,NA,"Loup","NE"
"47119",2164,1904,2705,"Maury","TN"
"48103",2585,2148,32,"Crane","TX"
"48063",2347,1953,142,"Camp","TX"
"51037",1581,1279,131,"Charlotte","VA"
"72125",NA,NA,NA,"San Germán",NA
"54015",NA,NA,NA,"Clay","WV"
"18117",2088,1908,163,"Orange","IN"
"19049",2564,2212,3059,"Dallas","IA"
"19167",2001,1941,97,"Sioux","IA"
"12027",3611,3034,303,"DeSoto","FL"
"21201",NA,NA,NA,"Robertson","KY"
"21029",2010,1685,2771,"Bullitt","KY"
"13157",2320,1984,2281,"Jackson","GA"
"16021",1917,1714,289,"Boundary","ID"
"31071",NA,NA,NA,"Garfield","NE"
"45089",2200,1958,213,"Williamsburg","SC"
"55123",2062,1747,147,"Vernon","WI"
"45069",1718,1563,161,"Marlboro","SC"
"48111",2975,2648,72,"Dallam","TX"
"51670",1781,1578,754,"Hopewell","VA"
"48055",2293,1762,478,"Caldwell","TX"
"41013",1529,1152,464,"Crook","OR"
"29043",2289,1957,2927,"Christian","MO"
"27147",2755,2583,1252,"Steele","MN"
"55037",1579,1429,39,"Florence","WI"
"31185",2947,2693,173,"York","NE"
"17101",2054,1849,35,"Lawrence","IL"
"37187",2533,2360,99,"Washington","NC"
"17009",NA,NA,NA,"Brown","IL"
"08007",2208,1787,281,"Archuleta","CO"
"47189",2150,1847,4496,"Wilson","TN"
"46107",NA,NA,NA,"Potter","SD"
"55015",1490,1241,687,"Calumet","WI"
"18091",1867,1569,2383,"LaPorte","IN"
"36067",1747,1334,8213,"Onondaga","NY"
"19193",2035,1799,2217,"Woodbury","IA"
"49053",1627,1314,4008,"Washington","UT"
"21063",NA,NA,NA,"Elliott","KY"
"19147",1872,1657,82,"Palo Alto","IA"
"17167",2131,1853,1667,"Sangamon","IL"
"35031",1593,1380,241,"McKinley","NM"
"24013",2027,1731,8336,"Carroll","MD"
"37079",1823,1658,251,"Greene","NC"
"47065",2518,2118,11383,"Hamilton","TN"
"17127",2287,2195,79,"Massac","IL"
"47075",2045,1739,251,"Haywood","TN"
"19003",NA,NA,NA,"Adams","IA"
"54077",1613,1425,292,"Preston","WV"
"17165",2143,1933,134,"Saline","IL"
"17163",2484,2176,5390,"St. Clair","IL"
"19019",1943,1854,162,"Buchanan","IA"
"19023",2013,1787,195,"Butler","IA"
"19033",2000,1637,783,"Cerro Gordo","IA"
"21095",2084,1689,85,"Harlan","KY"
"19041",2011,1821,129,"Clay","IA"
"42057",1208,998,171,"Fulton","PA"
"20037",NA,NA,NA,"Crawford","KS"
"20073",NA,NA,NA,"Greenwood","KS"
"55131",1508,1271,2095,"Washington","WI"
"53021",1566,1376,2177,"Franklin","WA"
"42041",1485,1221,6980,"Cumberland","PA"
"29059",2083,1883,260,"Dallas","MO"
"51133",1990,1681,321,"Northumberland","VA"
"21069",2021,1686,73,"Fleming","KY"
"21079",1889,1529,287,"Garrard","KY"
"31013",2882,2631,187,"Box Butte","NE"
"20057",2494,2320,391,"Ford","KS"
"17077",2656,2310,365,"Jackson","IL"
"12001",2678,2196,5401,"Alachua","FL"
"48177",2120,1653,150,"Gonzales","TX"
"18119",2169,1932,292,"Owen","IN"
"72067",NA,NA,NA,"Hormigueros",NA
"17025",2386,2123,45,"Clay","IL"
"18161",1962,1723,59,"Union","IN"
"42077",1637,1279,7295,"Lehigh","PA"
"42083",1248,1029,195,"McKean","PA"
"29125",2299,2000,100,"Maries","MO"
"26039",2053,1794,164,"Crawford","MI"
"27161",2388,2160,462,"Waseca","MN"
"51683",1827,1460,1355,"Manassas","VA"
"31087",NA,NA,NA,"Hitchcock","NE"
"32011",NA,NA,NA,"Eureka","NV"
"36005",3049,2575,3125,"Bronx","NY"
"31085",NA,NA,NA,"Hayes","NE"
"27105",2272,2036,199,"Nobles","MN"
"39023",1726,1494,2577,"Clark","OH"
"35013",1599,1306,4471,"Doña Ana","NM"
"26161",2872,2229,4387,"Washtenaw","MI"
"31139",2508,2227,68,"Pierce","NE"
"26015",2342,1898,66,"Barry","MI"
"35021",NA,NA,NA,"Harding","NM"
"39065",1665,1408,277,"Hardin","OH"
"05029",2295,1994,239,"Conway","AR"
"01123",2221,1903,561,"Tallapoosa","AL"
"31165",NA,NA,NA,"Sioux","NE"
"55113",1876,1609,170,"Sawyer","WI"
"55125",1621,1288,270,"Vilas","WI"
"55141",1614,1344,626,"Wood","WI"
"38093",2131,1926,251,"Stutsman","ND"
"38099",1987,1769,88,"Walsh","ND"
"39129",1817,1507,1051,"Pickaway","OH"
"39131",1964,1739,188,"Pike","OH"
"46017",NA,NA,NA,"Buffalo","SD"
"39057",1810,1515,3335,"Greene","OH"
"39049",1679,1392,20493,"Franklin","OH"
"29165",2610,2296,3362,"Platte","MO"
"48049",2340,1905,349,"Brown","TX"
"48135",2139,1688,2995,"Ector","TX"
"48235",NA,NA,NA,"Irion","TX"
"49041",1467,1200,270,"Sevier","UT"
"51101",1750,1399,850,"King William","VA"
"53055",2382,1891,277,"San Juan","WA"
"13277",1981,1725,766,"Tift","GA"
"56041",1769,1420,587,"Uinta","WY"
"28067",2361,2078,604,"Jones","MS"
"13071",2080,1909,573,"Colquitt","GA"
"48435",NA,NA,NA,"Sutton","TX"
"55021",1808,1515,731,"Columbia","WI"
"55127",1707,1421,1626,"Walworth","WI"
"51820",1374,1120,752,"Waynesboro","VA"
"32029",1476,1185,122,"Storey","NV"
"72135",NA,NA,NA,"Toa Alta",NA
"72015",NA,NA,NA,"Arroyo",NA
"72137",NA,NA,NA,"Toa Baja",NA
"72149",NA,NA,NA,"Villalba",NA
"26027",2231,1911,623,"Cass","MI"
"12115",3709,3017,11110,"Sarasota","FL"
"20021",NA,NA,NA,"Cherokee","KS"
"45041",2014,1683,2927,"Florence","SC"
"27017",2230,1973,801,"Carlton","MN"
"13075",1974,1801,283,"Cook","GA"
"13155",2396,2172,91,"Irwin","GA"
"48065",2649,2405,101,"Carson","TX"
"38027",NA,NA,NA,"Eddy","ND"
"20005",NA,NA,NA,"Atchison","KS"
"51600",2749,2126,812,"Fairfax","VA"
"51640",1143,935,61,"Galax","VA"
"20013",NA,NA,NA,"Brown","KS"
"29205",NA,NA,NA,"Shelby","MO"
"51690",1450,1203,249,"Martinsville","VA"
"19001",1993,1805,84,"Adair","IA"
"48221",3080,2477,1271,"Hood","TX"
"12015",3901,3269,5127,"Charlotte","FL"
"13077",2347,2072,5356,"Coweta","GA"
"17011",2000,1753,263,"Bureau","IL"
"39173",1681,1427,1946,"Wood","OH"
"48091",2498,1727,2504,"Comal","TX"
"48133",2773,2161,136,"Eastland","TX"
"48497",3201,2565,1550,"Wise","TX"
"17139",2156,2116,93,"Moultrie","IL"
"17029",1869,1650,297,"Coles","IL"
"19067",1873,1703,108,"Floyd","IA"
"20049",NA,NA,NA,"Elk","KS"
"19081",2033,1878,81,"Hancock","IA"
"26045",2445,2097,1631,"Eaton","MI"
"19085",2609,2193,232,"Harrison","IA"
"47159",2041,1764,358,"Smith","TN"
"48117",2343,2058,189,"Deaf Smith","TX"
"26067",2243,1879,680,"Ionia","MI"
"20205",NA,NA,NA,"Wilson","KS"
"20203",NA,NA,NA,"Wichita","KS"
"48125",NA,NA,NA,"Dickens","TX"
"49031",NA,NA,NA,"Piute","UT"
"26081",1750,1433,9105,"Kent","MI"
"37085",2192,1913,4208,"Harnett","NC"
"37183",2126,1774,38099,"Wake","NC"
"26107",NA,NA,NA,"Mecosta","MI"
"27159",2336,2163,175,"Wadena","MN"
"46037",NA,NA,NA,"Day","SD"
"21181",1731,1522,54,"Nicholas","KY"
"26123",2286,1955,462,"Newaygo","MI"
"21197",NA,NA,NA,"Powell","KY"
"47165",2085,1758,5904,"Sumner","TN"
"27051",2223,2086,85,"Grant","MN"
"17049",2293,1811,143,"Effingham","IL"
"17061",2442,1925,47,"Greene","IL"
"21013",1889,1612,55,"Bell","KY"
"27003",3007,2751,13142,"Anoka","MN"
"27015",2397,2097,376,"Brown","MN"
"42001",1278,998,2857,"Adams","PA"
"46013",2398,2024,591,"Brown","SD"
"46083",3213,2754,1586,"Lincoln","SD"
"40093",3055,2979,69,"Major","OK"
"46005",NA,NA,NA,"Beadle","SD"
"21033",2167,1799,117,"Caldwell","KY"
"47017",1966,1692,287,"Carroll","TN"
"46111",NA,NA,NA,"Sanborn","SD"
"42015",1301,997,479,"Bradford","PA"
"37087",1865,1551,1437,"Haywood","NC"
"48017",2588,2535,44,"Bailey","TX"
"46019",NA,NA,NA,"Butte","SD"
"47063",1484,1228,1281,"Hamblen","TN"
"48025",2369,2049,190,"Bee","TX"
"46059",NA,NA,NA,"Hand","SD"
"42029",2259,1615,14816,"Chester","PA"
"46099",2557,2308,4553,"Minnehaha","SD"
"49001",1354,1112,110,"Beaver","UT"
"27073",2638,2579,85,"Lac qui Parle","MN"
"42037",1429,1161,631,"Columbia","PA"
"47101",1981,1755,203,"Lewis","TN"
"31033",3017,2528,163,"Cheyenne","NE"
"51003",2118,1682,3447,"Albemarle","VA"
"56003",1950,1502,126,"Big Horn","WY"
"55089",1692,1376,1552,"Ozaukee","WI"
"47161",2213,1945,300,"Stewart","TN"
"55099",1780,1308,69,"Price","WI"
"45059",1764,1462,1022,"Laurens","SC"
"45063",1746,1430,8638,"Lexington","SC"
"56019",2390,1968,305,"Johnson","WY"
"55119",NA,NA,NA,"Taylor","WI"
"51089",1356,1144,935,"Henry","VA"
"44005",3196,2644,1176,"Newport","RI"
"48447",NA,NA,NA,"Throckmorton","TX"
"19107",2039,1812,38,"Keokuk","IA"
"17203",2087,1783,386,"Woodford","IL"
"13187",2396,2053,876,"Lumpkin","GA"
"39161",1533,1399,231,"Van Wert","OH"
"12043",3801,3408,146,"Glades","FL"
"12051",3555,3116,358,"Hendry","FL"
"48469",2492,2069,1737,"Victoria","TX"
"48481",2858,2416,435,"Wharton","TX"
"13219",2387,2053,1606,"Oconee","GA"
"13225",2215,2064,630,"Peach","GA"
"13237",2310,1840,429,"Putnam","GA"
"13165",2481,2283,33,"Jenkins","GA"
"48239",2523,2406,150,"Jackson","TX"
"24009",2351,2002,4206,"Calvert","MD"
"13245",2021,1756,5408,"Richmond","GA"
"13283",NA,NA,NA,"Treutlen","GA"
"13273",2454,2186,68,"Terrell","GA"
"13289",2077,1915,94,"Twiggs","GA"
"20077",2309,2302,54,"Harper","KS"
"05025",2019,1934,94,"Cleveland","AR"
"19017",2121,1844,258,"Bremer","IA"
"48219",2412,1944,337,"Hockley","TX"
"17153",NA,NA,NA,"Pulaski","IL"
"39003",1662,1443,804,"Allen","OH"
"40107",NA,NA,NA,"Okfuskee","OK"
"27165",2555,2313,111,"Watonwan","MN"
"27149",2657,2347,116,"Stevens","MN"
"39067",1631,1503,106,"Harrison","OH"
"28083",2522,2190,137,"Leflore","MS"
"29039",2134,1812,206,"Cedar","MO"
"31155",3557,2937,482,"Saunders","NE"
"31049",NA,NA,NA,"Deuel","NE"
"27141",3261,2951,3734,"Sherburne","MN"
"48345",NA,NA,NA,"Motley","TX"
"13307",NA,NA,NA,"Webster","GA"
"13311",2237,1922,641,"White","GA"
"41053",1384,1073,2216,"Polk","OR"
"13167",2045,1789,50,"Johnson","GA"
"55057",1901,1505,240,"Juneau","WI"
"55073",1527,1300,1262,"Marathon","WI"
"55053",2091,1792,133,"Jackson","WI"
"72095",NA,NA,NA,"Maunabo",NA
"72009",NA,NA,NA,"Aibonito",NA
"55035",1619,1371,1049,"Eau Claire","WI"
"18003",1526,1305,6973,"Allen","IN"
"20045",2709,2383,2644,"Douglas","KS"
"18033",1634,1424,738,"DeKalb","IN"
"19087",1862,1759,157,"Henry","IA"
"18011",2368,1907,1369,"Boone","IN"
"18097",1845,1508,14576,"Marion","IN"
"19015",2182,1963,577,"Boone","IA"
"39091",2027,1785,587,"Logan","OH"
"29167",2234,1950,743,"Polk","MO"
"19115",1868,1800,74,"Louisa","IA"
"19173",2175,1822,39,"Taylor","IA"
"39029",1686,1435,1212,"Columbiana","OH"
"20065",NA,NA,NA,"Graham","KS"
"45091",1922,1526,8485,"York","SC"
"55019",1705,1400,144,"Clark","WI"
"20123",NA,NA,NA,"Mitchell","KS"
"20157",NA,NA,NA,"Republic","KS"
"20201",NA,NA,NA,"Washington","KS"
"38007",NA,NA,NA,"Billings","ND"
"40149",3002,2630,128,"Washita","OK"
"40101",2426,2136,1068,"Muskogee","OK"
"26035",2008,1707,234,"Clare","MI"
"01027",2240,1953,125,"Clay","AL"
"01037",2280,2010,99,"Coosa","AL"
"37161",1702,1405,1189,"Rutherford","NC"
"40039",2981,2665,522,"Custer","OK"
"05135",1978,1775,270,"Sharp","AR"
"37177",NA,NA,NA,"Tyrrell","NC"
"51035",1193,1005,472,"Carroll","VA"
"19051",3001,2198,52,"Davis","IA"
"01069",2168,1941,2739,"Houston","AL"
"13023",2639,2754,140,"Bleckley","GA"
"20121",2656,2345,1079,"Miami","KS"
"13285",2157,1863,1682,"Troup","GA"
"37131",2113,1836,149,"Northampton","NC"
"08121",NA,NA,NA,"Washington","CO"
"08077",1575,1232,4916,"Mesa","CO"
"48309",2125,1557,3841,"McLennan","TX"
"39117",2166,1888,524,"Morrow","OH"
"20153",NA,NA,NA,"Rawlins","KS"
"17129",2587,2338,92,"Menard","IL"
"39121",1700,1371,66,"Noble","OH"
"20193",NA,NA,NA,"Thomas","KS"
"16057",1858,1540,745,"Latah","ID"
"48367",3180,2595,4246,"Parker","TX"
"39135",1705,1493,660,"Preble","OH"
"13059",2333,2022,2887,"Clarke","GA"
"19143",NA,NA,NA,"Osceola","IA"
"39139",1450,1212,1922,"Richland","OH"
"48391",3532,2862,59,"Refugio","TX"
"17181",2736,2312,72,"Union","IL"
"48401",1990,1522,518,"Rusk","TX"
"19181",2339,1929,1717,"Warren","IA"
"19185",2578,2275,26,"Wayne","IA"
"31059",2976,2892,30,"Fillmore","NE"
"48223",2692,2245,397,"Hopkins","TX"
"48423",2457,1966,3893,"Smith","TX"
"48231",2996,2408,1931,"Hunt","TX"
"36105",1837,1432,874,"Sullivan","NY"
"48313",2629,2199,122,"Madison","TX"
"51187",1807,1486,2061,"Warren","VA"
"36017",1586,1304,413,"Chenango","NY"
"48477",2432,1977,444,"Washington","TX"
"48291",2922,2506,1096,"Liberty","TX"
"01103",2223,1966,3239,"Morgan","AL"
"40147",2408,2130,920,"Washington","OK"
